cid	path_id	observed	p_value	fdr
CID_10219	R-HSA-162582_R-HSA-2586552_O60674	-4.99269	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-2028269_P42574	-4.99263	0.00000	0.00000
CID_10219	R-HSA-74160_R-HSA-73864_R-HSA-73863_P51946	-6.70874	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-1280218_R-HSA-2132295_P07711	-7.49464	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-1280218_R-HSA-2132295_P07858	-6.95809	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-1280218_R-HSA-2132295_P25774	-6.81519	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-1280218_R-HSA-2132295_P43235	-7.64263	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-1280218_R-HSA-8851680_P47989	-7.95493	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-879415_P05067	-3.91101	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-165159_R-HSA-166208_P42345	-9.26008	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-5683057_R-HSA-5687128_P17612	-7.71440	0.00000	0.00000
CID_10219	R-HSA-74160_R-HSA-212165_R-HSA-5250941_R-HSA-427413_P51946	-9.01730	0.00000	0.00000
CID_10219	R-HSA-74160_R-HSA-212165_R-HSA-5250941_R-HSA-427413_Q13547	-8.65290	0.00000	0.00000
CID_10219	R-HSA-74160_R-HSA-212165_R-HSA-5250941_R-HSA-427359_Q96EB6	-9.85713	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-1280218_R-HSA-388841_R-HSA-389513_P12931	-9.37184	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168928_R-HSA-933542_O14920	-6.92129	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168928_R-HSA-933542_P05067	-6.60903	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-2029480_R-HSA-2029482_P00519	-5.65436	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-2029480_R-HSA-2029482_P07900	-5.36433	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-2029480_R-HSA-2029482_P08238	-5.36275	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-2029480_R-HSA-2029482_P62993	-4.74648	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-2029480_R-HSA-2029481_P12931	-4.97977	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-2454202_R-HSA-2871837_O14920	-6.57012	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-2454202_R-HSA-2730905_P62993	-6.04796	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-2454202_R-HSA-2871796_P45983	-7.91566	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-2454202_R-HSA-2871796_P53779	-7.20204	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-2454202_R-HSA-2871796_P62993	-6.11455	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-5621481_R-HSA-5621575_P17612	-9.06208	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168643_R-HSA-168638_O14920	-5.95697	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168643_R-HSA-168638_P29466	-6.43166	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-1679131_P07711	-6.48812	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-1679131_P07858	-5.95157	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-1679131_P25774	-5.80867	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-1679131_P43235	-6.63611	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-1679131_Q9NYK1	-6.57571	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006921_R-HSA-354192_R-HSA-354194_P08514	-9.89855	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006921_R-HSA-354192_R-HSA-354194_P12931	-9.48765	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006921_R-HSA-354192_R-HSA-354194_P62993	-9.32444	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006921_R-HSA-354192_R-HSA-372708_P08514	-8.96162	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006921_R-HSA-354192_R-HSA-372708_P12931	-8.55071	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-195721_R-HSA-195253_R-HSA-196299_P48729	-7.43119	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-195721_R-HSA-195253_R-HSA-4641265_Q13547	-6.89267	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168643_R-HSA-622312_R-HSA-844456_P05067	-7.72283	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168643_R-HSA-622312_R-HSA-844456_P08238	-8.10150	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168643_R-HSA-622312_R-HSA-844456_P29466	-8.50977	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168643_R-HSA-622312_R-HSA-844623_P29466	-8.92653	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-6803157_R-HSA-1461973_R-HSA-1461957_P41597	-4.70357	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168164_R-HSA-168927_O14920	-7.09683	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168164_R-HSA-445989_O14920	-6.25814	0.00000	0.00000
CID_10219	R-HSA-168256_R-HSA-168249_R-HSA-168898_R-HSA-168164_R-HSA-445989_P05067	-5.94588	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-195721_R-HSA-3858494_R-HSA-4086400_R-HSA-5099900_P05129	-16.50499	0.00000	0.00000
CID_10219	R-HSA-162582_R-HSA-9006936_R-HSA-170834_R-HSA-2173793_R-HSA-2173795_P09874	-12.24522	0.00000	0.00000
