node	children_node
361	0,15,165,224,225,279
362	0,165,224,225,238,279
363	0,165,238,279
364	3,36,46,58,62,63,68,69,72,82,86,88,112,118,135,139,145,152,153,154,157,159,168,228,255,269,277,292,303,318,348
365	6
366	6
367	6,175
368	6
369	6
370	6,10,54,165,224,225
371	6,10
372	6,51
373	6
374	6,51
375	6
376	6
377	6
378	6
379	7,165,224,225,238,292
380	10,81,99,165,210,224,225,279
381	10,165,224,225,238,279
382	10,54,165,189,224,226
383	15,216
384	15
385	15,105,115
386	15,42,63,70,71,81,86,92,98,112,136,138,165,189,202,204,216,217,260,294,317
387	15
388	15,126,127
389	15,216
390	15,216
391	15,216
392	15,216
393	15,127,168,216,281
394	30,63,68,168,238,279
395	32,69
396	38,277
397	51,68,175
398	51,168
399	53,168,238,241,267,279
400	53,168,241,267
401	54
402	54,237
403	54,237
404	54,165,224,225,238,279
405	54,279
406	54,105,189
407	54
408	54,238,309
409	61,159
410	61,62,159,236,346
411	61,62,159,236
412	73,105,115,168
413	86
414	105,238
415	108,135,161
416	115,168
417	125
418	125,329
419	126,175,216
420	127
421	128
422	130
423	130,139,157,193,202,216,222,262
424	165,216
425	168
426	175
427	175
428	210,279
429	216,279
430	216
431	216
432	222
433	238,279
434	238
435	241,267
436	246
437	250
438	250
439	277,278
440	304
441	304
442	329
443	329
444	329
445	345,346
446	365,439
447	440
448	366,409,421
449	432
450	369
451	395
452	374,375,441,443,444
453	425
454	370,401,402,403
455	379,394,414
456	404
457	371,381,399,433
458	382,405
459	361,408,429,430,431
460	361,362
461	418,434
462	422
463	416
464	397,427
465	383,387
466	388
467	396
468	372,373
469	420
470	367,464
471	442,450
472	406,407,458
473	413,419,426,468
474	390,391,392,467
475	400,437,453
476	385,412,463
477	449
478	447,466,469
479	448
480	363,446
481	411,415,417,436,454,472,479,480
482	373,435,438,475
483	380,428,476
484	372,376,482
485	368,372,482
486	482
487	483
488	372,377,482
489	372,378,482
490	372,376,482
491	488
492	490
493	490
494	484
495	484
496	386,389,423,424,459,460,465,473,474,486,487
497	445,489
498	384,393,462,478,496
499	484,491
500	497
501	497
502	494,495
503	410,485,492,493,499,500,501,502
504	364,398,451,452,455,456,457,461,470,471,477,503
505	481,498,504
