node_name	children_node_name
R-HSA-1660499	P48736,P42338,P42336,P27986,O00329
R-HSA-2162123	P35354,P24557,O14684
R-HSA-6796648	P51946,P05412,O14757
R-HSA-6804756	Q96GD4,Q15078,Q13526,P68400,P24941,O96017,O14757
R-HSA-8953750	Q96KQ7,O14757
R-HSA-1483148	O14939
R-HSA-1483166	P47712,P14555,P04054,O14939
R-HSA-71240	P14902,O15229
R-HSA-1989781	Q96RI1,Q92793,Q13133,P55055,P37231,P19793,P04798,P04035,O15379
R-HSA-350054	Q9BY41,Q92793,Q92769,Q13547,P56524,O15379
R-HSA-8940973	P28482,P12931,P10275,P00519,O15379
R-HSA-9022692	Q96GD4,Q92769,Q13547,P17612,O15379
R-HSA-6804757	P42345,P31749,P24941,P06493,O96017,O15530
R-HSA-1475029	Q9Y2D0,Q9ULX7,Q16790,P43166,P35218,P23280,P22748,P00918,P00915,O43570
R-HSA-5628897	P42345,P31749,O94925
R-HSA-8964539	O94925
R-HSA-390247	O95822
R-HSA-6804760	Q96KQ7,O96017
R-HSA-1474151	P31749,P07900,P00374
R-HSA-196757	P00374
R-HSA-8939236	P51946,P00519
R-HSA-8866910	P10721,P04626,P03372,P00533
R-HSA-383280	Q96RI1,Q92731,Q13133,Q03181,P55055,P51449,P37231,P19793,P11473,P10828,P10826,P10275,P04150,P03372
R-HSA-8931987	P03372
R-HSA-8939256	P03372
R-HSA-8939902	P49841,P04150,P03372
R-HSA-191273	P04035
R-HSA-2426168	Q92793,Q13085,P49327,P19793,P04035
R-HSA-1482788	P47712,P14555,P04054
R-HSA-1482801	P47712,P14555,P04054
R-HSA-1482839	P47712,P14555,P04054
R-HSA-1482922	P47712,P14555,P04054
R-HSA-1482925	P47712,P14555,P04054
R-HSA-1660662	P08842,P04062
R-HSA-9615017	Q9NTG7,Q92769,Q13547,P04150
R-HSA-2142670	P04798
R-HSA-2142816	P04798
R-HSA-6804114	P06493
R-HSA-196741	P33527,P07477
R-HSA-8939242	P43235,P07711
R-HSA-203615	P31749,P07900
R-HSA-5601884	P07900
R-HSA-2161517	Q9UNQ0,P08183
R-HSA-8937144	P08238
R-HSA-8936459	Q13547,P08514
R-HSA-9022699	Q92769,Q13547,P41145,P35372,P18031,P08581
R-HSA-8941332	P45452,P31749,P08648
R-HSA-400042	Q13936,P08913
R-HSA-70263	P09467
R-HSA-2173795	Q13547,P09874
R-HSA-2142688	P20292,P09917
R-HSA-2142691	P49137,P33527,P20292,P09960,P09917
R-HSA-2142700	P20292,P09917
R-HSA-9018896	P09960,P09917
R-HSA-196791	P11473
R-HSA-8934593	P12931
R-HSA-8941858	P12931
R-HSA-8949275	P51449,P20701,P13612
R-HSA-193144	P14061
R-HSA-163560	Q99685,P17612,P15090
R-HSA-196108	P15121
R-HSA-194002	P28845,P15538
R-HSA-211976	Q96RI1,P19793,P15538
R-HSA-399997	P20309,P17252
R-HSA-163358	P17612
R-HSA-164378	P17612
R-HSA-381676	P43220,P17612
R-HSA-9634600	P17612
R-HSA-193048	P37058,P31213,P18405
R-HSA-2160916	P19634
R-HSA-159418	Q96RI1,P19793
R-HSA-193368	Q96RI1,P52895,P19793
R-HSA-193807	Q96RI1,P52895,P19793
R-HSA-200425	Q13085,Q03181,P19793
R-HSA-204174	Q03181,P19793
R-HSA-1483191	P68400,P22303
R-HSA-211979	P24557
R-HSA-6804116	P24941
R-HSA-6803207	P55212,P29466
R-HSA-6804759	P31749
R-HSA-9614399	P31749
R-HSA-197264	P35354
R-HSA-2142770	P35354
R-HSA-75876	P37058
R-HSA-9022707	P37231
R-HSA-1482798	P47712
R-HSA-1483115	P47712
R-HSA-163765	Q13085,P49327
R-HSA-5250924	P49841
R-HSA-112382	P51946
R-HSA-113418	P51946
R-HSA-427413	Q92769,Q13547,P51946
R-HSA-674695	P51946
R-HSA-73762	Q96KQ7,Q92769,Q13547,P51946
