node	size
0	1
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	1
163	1
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	1
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	1
348	1
349	1
350	1
351	1
352	1
353	1
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	103
362	12
363	27
364	22
365	95
366	31
367	22
368	480
369	11
370	65
371	92
372	34
373	67
374	153
375	35
376	19
377	17
378	116
379	13
380	13
381	167
382	32
383	36
384	30
385	16
386	24
387	12
388	14
389	23
390	14
391	114
392	6
393	47
394	28
395	24
396	59
397	31
398	44
399	102
400	22
401	25
402	27
403	19
404	36
405	6
406	8
407	36
408	119
409	11
410	10
411	9
412	15
413	11
414	30
415	111
416	17
417	14
418	25
419	12
420	9
421	11
422	7
423	7
424	14
425	24
426	80
427	19
428	86
429	14
430	19
431	150
432	36
433	99
434	22
435	13
436	17
437	14
438	31
439	16
440	16
441	9
442	9
443	15
444	13
445	6
446	13
447	24
448	135
449	37
450	32
451	53
452	6
453	6
454	73
455	5
456	30
457	5
458	13
459	9
460	16
461	13
462	49
463	15
464	62
465	118
466	10
467	89
468	16
469	41
470	38
471	52
472	29
473	12
474	21
475	42
476	12
477	18
478	9
479	79
480	13
481	140
482	8
483	29
484	9
485	5
486	15
487	15
488	40
489	66
490	6
491	21
492	11
493	6
494	5
495	30
496	5
497	11
498	10
499	17
500	8
501	12
502	14
503	6
504	13
505	12
506	13
507	10
508	16
509	18
510	13
511	15
512	21
513	21
514	23
515	23
516	23
517	25
518	18
519	20
520	18
521	22
522	20
523	20
524	13
525	23
526	8
527	18
528	6
529	16
530	13
531	101
532	140
533	9
534	29
535	17
536	55
537	6
538	297
539	6
540	23
541	10
542	7
543	5
544	6
545	33
546	59
547	24
548	17
549	24
550	16
551	60
552	60
553	60
554	21
555	21
556	25
557	8
558	14
559	6
560	29
561	45
562	5
563	9
564	14
565	48
566	10
567	25
568	9
569	7
570	13
571	10
572	5
573	8
574	12
575	5
576	6
577	13
578	14
579	10
580	42
581	14
582	9
583	69
584	54
585	12
586	28
587	5
588	8
589	20
590	7
591	5
592	14
593	9
594	10
595	40
596	39
597	22
598	28
599	20
600	6
601	34
602	117
603	61
604	59
605	16
606	22
607	12
608	12
609	17
610	31
611	18
612	7
613	23
614	11
615	8
616	60
617	61
618	33
619	75
620	84
621	47
622	60
623	47
624	47
625	31
626	47
627	27
628	5
629	9
630	9
631	16
632	7
633	14
634	9
635	11
636	8
637	8
638	37
639	8
640	9
641	76
642	9
643	34
644	32
645	45
646	12
647	8
648	6
649	11
650	5
651	20
652	12
653	7
654	14
655	25
656	14
657	28
658	16
659	10
660	37
661	5
662	14
663	5
664	5
665	19
666	48
667	23
668	27
669	81
670	85
671	58
672	169
673	43
674	49
675	21
676	39
677	146
678	20
679	77
680	12
681	49
682	58
683	6
684	13
685	20
686	16
687	78
688	16
689	8
690	82
691	73
692	33
693	22
694	110
695	202
696	137
697	175
698	76
699	106
700	46
701	44
702	217
703	34
704	27
705	96
706	189
707	43
708	33
709	15
710	32
711	92
712	16
713	97
714	44
715	48
716	75
717	78
718	65
719	114
720	173
721	63
722	85
723	44
724	31
725	30
726	25
727	27
728	33
729	34
730	29
731	31
732	101
733	40
734	24
735	24
736	49
737	30
738	37
739	138
740	79
741	46
742	61
743	47
744	172
745	18
746	54
747	29
748	36
749	41
750	96
751	207
752	31
753	60
754	25
755	25
756	75
757	25
758	82
759	46
760	102
761	17
762	136
763	66
764	34
765	50
766	263
767	58
768	73
769	63
770	32
771	98
772	105
773	293
774	25
775	117
776	100
777	52
778	324
779	143
780	88
781	219
782	139
783	56
784	31
785	150
786	160
787	50
788	73
789	40
790	41
791	247
792	95
793	79
794	80
795	54
796	120
797	190
798	27
799	54
800	49
801	283
802	441
803	175
804	34
805	941
806	204
807	78
808	87
809	424
810	297
811	53
812	365
